"n1","p1","p2","q","degree","n2"
100,0.19,0.29,0.11,"True",900
250,0.19,0.29,0.11,"True",750
500,0.19,0.29,0.11,"True",500
100,0.29,0.29,0.11,"True",900
250,0.29,0.29,0.11,"True",750
500,0.29,0.29,0.11,"True",500
100,0.19,0.29,0.17,"True",900
250,0.19,0.29,0.17,"True",750
500,0.19,0.29,0.17,"True",500
100,0.29,0.29,0.17,"True",900
250,0.29,0.29,0.17,"True",750
500,0.29,0.29,0.17,"True",500
100,0.19,0.29,0.2,"True",900
250,0.19,0.29,0.2,"True",750
500,0.19,0.29,0.2,"True",500
100,0.29,0.29,0.2,"True",900
250,0.29,0.29,0.2,"True",750
500,0.29,0.29,0.2,"True",500
100,0.19,0.29,0.11,"False",900
250,0.19,0.29,0.11,"False",750
500,0.19,0.29,0.11,"False",500
100,0.29,0.29,0.11,"False",900
250,0.29,0.29,0.11,"False",750
500,0.29,0.29,0.11,"False",500
100,0.19,0.29,0.17,"False",900
250,0.19,0.29,0.17,"False",750
500,0.19,0.29,0.17,"False",500
100,0.29,0.29,0.17,"False",900
250,0.29,0.29,0.17,"False",750
500,0.29,0.29,0.17,"False",500
100,0.19,0.29,0.2,"False",900
250,0.19,0.29,0.2,"False",750
500,0.19,0.29,0.2,"False",500
100,0.29,0.29,0.2,"False",900
250,0.29,0.29,0.2,"False",750
500,0.29,0.29,0.2,"False",500
